============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=166/188 loss=0.3343 lr=2.69e-05 elapsed=631.4s
[train] epoch=0 step=167/188 loss=0.3065 lr=2.63e-05 elapsed=636.5s
[train] epoch=0 step=168/188 loss=0.3388 lr=2.58e-05 elapsed=642.6s
[train] epoch=0 step=169/188 loss=0.2985 lr=2.53e-05 elapsed=648.1s
[train] epoch=0 step=170/188 loss=0.2346 lr=2.47e-05 elapsed=653.4s
[train] epoch=0 step=171/188 loss=0.2498 lr=2.43e-05 elapsed=658.1s
[train] epoch=0 step=172/188 loss=0.2099 lr=2.38e-05 elapsed=663.5s
[train] epoch=0 step=173/188 loss=0.2408 lr=2.34e-05 elapsed=668.4s
[train] epoch=0 step=174/188 loss=0.2375 lr=2.30e-05 elapsed=674.1s
[train] epoch=0 step=175/188 loss=0.2331 lr=2.26e-05 elapsed=679.8s
[train] epoch=0 step=176/188 loss=0.2154 lr=2.22e-05 elapsed=685.7s
[train] epoch=0 step=177/188 loss=0.2950 lr=2.19e-05 elapsed=691.1s
[train] epoch=0 step=178/188 loss=0.2464 lr=2.16e-05 elapsed=695.7s
[train] epoch=0 step=179/188 loss=0.2589 lr=2.13e-05 elapsed=700.8s
[train] epoch=0 step=180/188 loss=0.2075 lr=2.11e-05 elapsed=705.9s
